target,F1,P,R,pos_rate
y_Incandescent_Lamp_N0,0.4444444444444444,0.34509803921568627,0.624113475,0.2002840909090909
y_AC_Adapter_Sony_M0,0.43386243386243384,0.3416666666666667,0.5942028985507246,0.19602272727272727
y_Soldering_Station_H0,0.3489583333333333,0.2648221343873518,0.5114503816793893,0.18607954545454544
y_Smoke_Extractor_E0,0.33544303797468356,0.2409090909090909,0.5520833333333334,0.13636363636363635
y_Oil_Heater_Q0,0.31202046035805625,0.22344322344322345,0.5169491525423728,0.16761363636363635
y_Phone_Charger_Motorola_I0,0.2848101265822785,0.17857142857142858,0.703125,0.090909091
y_Impact_Drill_P0,0.265780731,0.17094017094017094,0.5970149253731343,0.095170455
y_Hair_Dryer_2100W_Z0,0.26459143968871596,0.1552511415525114,0.8947368421052632,0.053977273
y_Resistor_200ohm_L0,0.2363238512035011,0.13636363636363635,0.8852459016393442,0.086647727
y_Microwave_On_S0,0.22127659574468084,0.13,0.7428571428571429,0.049715909
y_LED_Panel_D0,0.21451104100946372,0.136,0.5074626865671642,0.095170455
y_Hair_Dryer_2000W_X0,0.21352313167259787,0.12345679012345678,0.7894736842105263,0.053977273
y_Hair_Dryer_2100W_Y0,0.2076923076923077,0.12385321100917432,0.6428571428571429,0.059659091
y_LED_Lamp_B0,0.2076749435665914,0.12332439678284182,0.6571428571428571,0.099431818
y_Microwave_Standby_A0,0.20114942528735633,0.12195121951219512,0.5737704918032787,0.086647727
y_Hair_Dryer_2000W_W0,0.17813765182186234,0.10377358490566038,0.6285714285714286,0.049715909
y_Oil_Heater_R0,0.1728395061728395,0.096885813,0.8,0.049715909
y_Hair_Dryer_1900W_U0,0.17040358744394618,0.097938144,0.6551724137931034,0.041193181818181816
y_Phone_Charger_Asus_G0,0.14225941422594143,0.078341014,0.7727272727272727,0.03125
y_Fan_Heater_T0,0.10119047619047619,0.055374593,0.5862068965517241,0.041193181818181816
y_Hair_Dryer_1900W_V0,0.091168091,0.050156739811912224,0.5,0.045454545454545456
y_Fan_3Speed_K0,0.051886792,0.026960784,0.6875,0.022727272727272728
